Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.18664	52	0	1	LastDelay	0.08664	86640	1	3
0.18664	52	0	1	FullDelay	0.08664	86640	1	3
0.18664	58	0	1	LastDelay	0.08664	86640	1	3
0.18664	58	0	1	FullDelay	0.08664	86640	1	3
0.2444	5	0	1	LastDelay	0.1444	144400	1	5
0.2444	5	0	1	FullDelay	0.1444	144400	1	5
0.252976	16	0	1	LastDelay	0.152976	152976	1	5
0.252976	16	0	1	FullDelay	0.152976	152976	1	5
0.27328	82	0	1	LastDelay	0.17328	173280	1	6
0.27328	82	0	1	FullDelay	0.17328	173280	1	6
0.27328	97	0	1	LastDelay	0.17328	173280	1	6
0.27328	97	0	1	FullDelay	0.17328	173280	1	6
0.281856	88	0	1	LastDelay	0.181856	181856	1	6
0.281856	88	0	1	FullDelay	0.181856	181856	1	6
0.28664	52	0	2	LastDelay	0.08664	86640	1	3
0.28664	52	0	2	FullDelay	0.08664	86640	1	3
0.28664	58	0	2	LastDelay	0.08664	86640	1	3
0.28664	58	0	2	FullDelay	0.08664	86640	1	3
0.33104	11	0	1	LastDelay	0.23104	231040	1	8
0.33104	11	0	1	FullDelay	0.23104	231040	1	8
0.339616	91	0	1	LastDelay	0.239616	239616	1	8
0.339616	91	0	1	FullDelay	0.239616	239616	1	8
0.3444	5	0	2	LastDelay	0.1444	144400	1	5
0.3444	5	0	2	FullDelay	0.1444	144400	1	5
0.352976	16	0	2	LastDelay	0.152976	152976	1	5
0.352976	16	0	2	FullDelay	0.152976	152976	1	5
0.37328	82	0	2	LastDelay	0.17328	173280	1	6
0.37328	82	0	2	FullDelay	0.17328	173280	1	6
0.37328	97	0	2	LastDelay	0.17328	173280	1	6
0.37328	97	0	2	FullDelay	0.17328	173280	1	6
0.381856	88	0	2	LastDelay	0.181856	181856	1	6
0.381856	88	0	2	FullDelay	0.181856	181856	1	6
0.38664	52	0	3	LastDelay	0.08664	86640	1	3
0.38664	52	0	3	FullDelay	0.08664	86640	1	3
0.38664	58	0	3	LastDelay	0.08664	86640	1	3
0.38664	58	0	3	FullDelay	0.08664	86640	1	3
0.3888	0	0	1	LastDelay	0.2888	288800	1	10
0.3888	0	0	1	FullDelay	0.2888	288800	1	10
0.43104	11	0	2	LastDelay	0.23104	231040	1	8
0.43104	11	0	2	FullDelay	0.23104	231040	1	8
0.439616	91	0	2	LastDelay	0.239616	239616	1	8
0.439616	91	0	2	FullDelay	0.239616	239616	1	8
0.4444	5	0	3	LastDelay	0.1444	144400	1	5
0.4444	5	0	3	FullDelay	0.1444	144400	1	5
0.452976	16	0	3	LastDelay	0.152976	152976	1	5
0.452976	16	0	3	FullDelay	0.152976	152976	1	5
0.47328	82	0	3	LastDelay	0.17328	173280	1	6
0.47328	82	0	3	FullDelay	0.17328	173280	1	6
0.47328	97	0	3	LastDelay	0.17328	173280	1	6
0.47328	97	0	3	FullDelay	0.17328	173280	1	6
0.481856	88	0	3	LastDelay	0.181856	181856	1	6
0.481856	88	0	3	FullDelay	0.181856	181856	1	6
0.48664	52	0	0	LastDelay	0.08664	86640	1	3
0.48664	52	0	0	FullDelay	0.48664	486640	2	3
0.48664	58	0	0	LastDelay	0.08664	86640	1	3
0.48664	58	0	0	FullDelay	0.48664	486640	2	3
0.4888	0	0	2	LastDelay	0.2888	288800	1	10
0.4888	0	0	2	FullDelay	0.2888	288800	1	10
0.53104	11	0	3	LastDelay	0.23104	231040	1	8
0.53104	11	0	3	FullDelay	0.23104	231040	1	8
0.539616	91	0	3	LastDelay	0.239616	239616	1	8
0.539616	91	0	3	FullDelay	0.239616	239616	1	8
