Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.15776	24	0	1	LastDelay	0.05776	57760	1	2
0.15776	24	0	1	FullDelay	0.05776	57760	1	2
0.21552	0	0	1	LastDelay	0.11552	115520	1	4
0.21552	0	0	1	FullDelay	0.11552	115520	1	4
0.25776	24	0	2	LastDelay	0.05776	57760	1	2
0.25776	24	0	2	FullDelay	0.05776	57760	1	2
0.31552	0	0	2	LastDelay	0.11552	115520	1	4
0.31552	0	0	2	FullDelay	0.11552	115520	1	4
0.35776	24	0	0	LastDelay	0.05776	57760	1	2
0.35776	24	0	0	FullDelay	0.35776	357760	2	2
0.41552	0	0	3	LastDelay	0.11552	115520	1	4
0.41552	0	0	3	FullDelay	0.11552	115520	1	4
0.45776	24	0	3	LastDelay	0.05776	57760	1	2
0.45776	24	0	3	FullDelay	0.05776	57760	1	2
0.51552	0	0	0	LastDelay	0.11552	115520	1	4
0.51552	0	0	0	FullDelay	0.51552	515520	2	4
0.55776	24	0	4	LastDelay	0.05776	57760	1	2
0.55776	24	0	4	FullDelay	0.05776	57760	1	2
0.61552	0	0	4	LastDelay	0.11552	115520	1	4
0.61552	0	0	4	FullDelay	0.11552	115520	1	4
0.65776	24	0	5	LastDelay	0.05776	57760	1	2
0.65776	24	0	5	FullDelay	0.05776	57760	1	2
0.71552	0	0	5	LastDelay	0.11552	115520	1	4
0.71552	0	0	5	FullDelay	0.11552	115520	1	4
0.75776	24	0	6	LastDelay	0.05776	57760	1	2
0.75776	24	0	6	FullDelay	0.05776	57760	1	2
0.81552	0	0	6	LastDelay	0.11552	115520	1	4
0.81552	0	0	6	FullDelay	0.11552	115520	1	4
0.85776	24	0	7	LastDelay	0.05776	57760	1	2
0.85776	24	0	7	FullDelay	0.05776	57760	1	2
0.91552	0	0	7	LastDelay	0.11552	115520	1	4
0.91552	0	0	7	FullDelay	0.11552	115520	1	4
0.95776	24	0	8	LastDelay	0.05776	57760	1	2
0.95776	24	0	8	FullDelay	0.05776	57760	1	2
1.01552	0	0	8	LastDelay	0.11552	115520	1	4
1.01552	0	0	8	FullDelay	0.11552	115520	1	4
1.05776	24	0	9	LastDelay	0.05776	57760	1	2
1.05776	24	0	9	FullDelay	0.05776	57760	1	2
1.11552	0	0	9	LastDelay	0.11552	115520	1	4
1.11552	0	0	9	FullDelay	0.11552	115520	1	4
1.15776	24	0	10	LastDelay	0.05776	57760	1	2
1.15776	24	0	10	FullDelay	0.05776	57760	1	2
1.21552	0	0	10	LastDelay	0.11552	115520	1	4
1.21552	0	0	10	FullDelay	0.11552	115520	1	4
1.25776	24	0	11	LastDelay	0.05776	57760	1	2
1.25776	24	0	11	FullDelay	0.05776	57760	1	2
1.31552	0	0	11	LastDelay	0.11552	115520	1	4
1.31552	0	0	11	FullDelay	0.11552	115520	1	4
1.35776	24	0	12	LastDelay	0.05776	57760	1	2
1.35776	24	0	12	FullDelay	0.05776	57760	1	2
1.41552	0	0	12	LastDelay	0.11552	115520	1	4
1.41552	0	0	12	FullDelay	0.11552	115520	1	4
1.45776	24	0	13	LastDelay	0.05776	57760	1	2
1.45776	24	0	13	FullDelay	0.05776	57760	1	2
1.51552	0	0	13	LastDelay	0.11552	115520	1	4
1.51552	0	0	13	FullDelay	0.11552	115520	1	4
1.55776	24	0	14	LastDelay	0.05776	57760	1	2
1.55776	24	0	14	FullDelay	0.05776	57760	1	2
1.61552	0	0	14	LastDelay	0.11552	115520	1	4
1.61552	0	0	14	FullDelay	0.11552	115520	1	4
1.65776	24	0	15	LastDelay	0.05776	57760	1	2
1.65776	24	0	15	FullDelay	0.05776	57760	1	2
1.71552	0	0	15	LastDelay	0.11552	115520	1	4
1.71552	0	0	15	FullDelay	0.11552	115520	1	4
1.75776	24	0	16	LastDelay	0.05776	57760	1	2
1.75776	24	0	16	FullDelay	0.05776	57760	1	2
1.81552	0	0	16	LastDelay	0.11552	115520	1	4
1.81552	0	0	16	FullDelay	0.11552	115520	1	4
