Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.36123	90	0	10	FullDelay	0.261232	261232	1	9
1.36208	11	0	9	FullDelay	0.46208	462080	1	16
1.3888	8	0	10	FullDelay	0.2888	288800	1	10
1.39096	1	0	9	FullDelay	0.49096	490960	1	17
1.39738	80	0	10	FullDelay	0.297376	297376	1	10
1.40432	22	0	9	FullDelay	0.40432	404320	1	14
1.41984	0	0	9	FullDelay	0.51984	519840	1	18
1.42453	25	0	10	FullDelay	0.324528	324528	1	11
1.45168	15	0	10	FullDelay	0.35168	351680	1	12
1.45992	9	0	11	FullDelay	0.25992	259920	1	9
1.46123	90	0	11	FullDelay	0.261232	261232	1	9
1.46208	11	0	0	FullDelay	1.46208	1.46208e+06	2	16
1.4888	8	0	11	FullDelay	0.2888	288800	1	10
1.49096	1	0	0	FullDelay	1.49096	1.49096e+06	2	17
1.49738	80	0	11	FullDelay	0.297376	297376	1	10
1.50432	22	0	10	FullDelay	0.40432	404320	1	14
1.51984	0	0	10	FullDelay	0.51984	519840	1	18
1.52453	25	0	11	FullDelay	0.324528	324528	1	11
1.55168	15	0	11	FullDelay	0.35168	351680	1	12
1.55992	9	0	12	FullDelay	0.25992	259920	1	9
1.56123	90	0	12	FullDelay	0.261232	261232	1	9
1.56208	11	0	10	FullDelay	0.46208	462080	1	16
1.5888	8	0	12	FullDelay	0.2888	288800	1	10
1.59096	1	0	10	FullDelay	0.49096	490960	1	17
1.59738	80	0	12	FullDelay	0.297376	297376	1	10
1.60432	22	0	11	FullDelay	0.40432	404320	1	14
1.61984	0	0	0	FullDelay	1.61984	1.61984e+06	2	18
1.62453	25	0	12	FullDelay	0.324528	324528	1	11
1.65168	15	0	12	FullDelay	0.35168	351680	1	12
1.65992	9	0	13	FullDelay	0.25992	259920	1	9
1.66123	90	0	13	FullDelay	0.261232	261232	1	9
1.66208	11	0	11	FullDelay	0.46208	462080	1	16
1.6888	8	0	13	FullDelay	0.2888	288800	1	10
1.69096	1	0	11	FullDelay	0.49096	490960	1	17
1.69738	80	0	13	FullDelay	0.297376	297376	1	10
1.70432	22	0	12	FullDelay	0.40432	404320	1	14
1.71984	0	0	11	FullDelay	0.51984	519840	1	18
1.72453	25	0	13	FullDelay	0.324528	324528	1	11
1.75168	15	0	13	FullDelay	0.35168	351680	1	12
