Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.12888	11	0	1	LastDelay	0.02888	28880	1	1
0.12888	11	0	1	FullDelay	0.02888	28880	1	1
0.15776	97	0	1	LastDelay	0.05776	57760	1	2
0.15776	97	0	1	FullDelay	0.05776	57760	1	2
0.166336	88	0	1	LastDelay	0.066336	66336	1	2
0.166336	88	0	1	FullDelay	0.066336	66336	1	2
0.18664	0	0	1	LastDelay	0.08664	86640	1	3
0.18664	0	0	1	FullDelay	0.08664	86640	1	3
0.21552	52	0	1	LastDelay	0.11552	115520	1	4
0.21552	52	0	1	FullDelay	0.11552	115520	1	4
0.21552	5	0	1	LastDelay	0.11552	115520	1	4
0.21552	5	0	1	FullDelay	0.11552	115520	1	4
0.21552	16	0	1	LastDelay	0.11552	115520	1	4
0.21552	16	0	1	FullDelay	0.11552	115520	1	4
0.22888	11	0	2	LastDelay	0.02888	28880	1	1
0.22888	11	0	2	FullDelay	0.02888	28880	1	1
0.2444	58	0	1	LastDelay	0.1444	144400	1	5
0.2444	58	0	1	FullDelay	0.1444	144400	1	5
0.25776	97	0	2	LastDelay	0.05776	57760	1	2
0.25776	97	0	2	FullDelay	0.05776	57760	1	2
0.266336	88	0	2	LastDelay	0.066336	66336	1	2
0.266336	88	0	2	FullDelay	0.066336	66336	1	2
0.28664	0	0	2	LastDelay	0.08664	86640	1	3
0.28664	0	0	2	FullDelay	0.08664	86640	1	3
0.30216	82	0	1	LastDelay	0.20216	202160	1	7
0.30216	82	0	1	FullDelay	0.20216	202160	1	7
0.31552	52	0	2	LastDelay	0.11552	115520	1	4
0.31552	52	0	2	FullDelay	0.11552	115520	1	4
0.31552	5	0	2	LastDelay	0.11552	115520	1	4
0.31552	5	0	2	FullDelay	0.11552	115520	1	4
0.31552	16	0	2	LastDelay	0.11552	115520	1	4
0.31552	16	0	2	FullDelay	0.11552	115520	1	4
0.32888	11	0	0	LastDelay	0.02888	28880	1	1
0.32888	11	0	0	FullDelay	0.32888	328880	2	1
0.33104	91	0	1	LastDelay	0.23104	231040	1	8
0.33104	91	0	1	FullDelay	0.23104	231040	1	8
0.3444	58	0	2	LastDelay	0.1444	144400	1	5
