Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.273376	66	0	1	FullDelay	0.173376	173376	1	6
0.331168	46	0	1	FullDelay	0.231168	231168	1	8
0.339752	55	0	1	FullDelay	0.239752	239752	1	8
0.35992	9	0	1	FullDelay	0.25992	259920	1	9
0.366848	90	0	1	FullDelay	0.266848	266848	1	9
0.394	8	0	1	FullDelay	0.294	294000	1	10
0.402576	80	0	1	FullDelay	0.302576	302576	1	10
0.411232	44	0	1	FullDelay	0.311232	311232	1	10
0.419816	35	0	1	FullDelay	0.319816	319816	1	10
0.446928	25	0	1	FullDelay	0.346928	346928	1	11
0.448464	66	0	2	FullDelay	0.248464	248464	1	6
0.45556	70	0	1	FullDelay	0.35556	355560	1	11
0.45992	9	0	2	FullDelay	0.25992	259920	1	9
0.464144	7	0	1	FullDelay	0.364144	364144	1	11
0.491272	15	0	1	FullDelay	0.391272	391272	1	12
0.499888	60	0	1	FullDelay	0.399888	399888	1	12
0.508472	33	0	1	FullDelay	0.408472	408472	1	12
0.511368	46	0	2	FullDelay	0.311368	311368	1	8
0.517056	6	0	1	FullDelay	0.417056	417056	1	12
0.544224	5	0	1	FullDelay	0.444224	444224	1	13
0.551408	66	0	3	FullDelay	0.251408	251408	1	6
0.552808	50	0	1	FullDelay	0.452808	452808	1	13
0.55992	9	0	3	FullDelay	0.25992	259920	1	9
0.56564	8	0	2	FullDelay	0.36564	365640	1	10
0.5742	80	0	2	FullDelay	0.3742	374200	1	10
0.57992	22	0	1	FullDelay	0.47992	479920	1	14
0.601352	25	0	2	FullDelay	0.401352	401352	1	11
0.607136	30	0	1	FullDelay	0.507136	507136	1	15
0.614312	46	0	3	FullDelay	0.314312	314312	1	8
0.628504	15	0	2	FullDelay	0.428504	428504	1	12
0.641408	90	0	3	FullDelay	0.341408	341408	1	9
0.6428	11	0	1	FullDelay	0.5428	542800	1	16
0.65436	66	0	4	FullDelay	0.25436	254360	1	6
0.655752	5	0	2	FullDelay	0.455752	455752	1	13
0.65992	9	0	4	FullDelay	0.25992	259920	1	9
0.66856	8	0	3	FullDelay	0.36856	368560	1	10
0.669952	1	0	1	FullDelay	0.569952	569952	1	17
0.68284	22	0	2	FullDelay	0.48284	482840	1	14
0.695712	25	0	3	FullDelay	0.395712	395712	1	11
0.705688	0	0	1	FullDelay	0.605688	605688	1	18
0.71008	30	0	2	FullDelay	0.51008	510080	1	15
0.717272	55	0	4	FullDelay	0.317272	317272	1	8
0.722864	15	0	3	FullDelay	0.422864	422864	1	12
0.731536	60	0	3	FullDelay	0.431536	431536	1	12
0.744368	90	0	4	FullDelay	0.344368	344368	1	9
0.745744	11	0	2	FullDelay	0.545744	545744	1	16
0.75732	66	0	5	FullDelay	0.25732	257320	1	6
0.758704	5	0	3	FullDelay	0.458704	458704	1	13
0.75992	9	0	5	FullDelay	0.25992	259920	1	9
0.77152	8	0	4	FullDelay	0.37152	371520	1	10
0.772896	1	0	2	FullDelay	0.572896	572896	1	17
0.785792	22	0	3	FullDelay	0.485792	485792	1	14
0.798672	25	0	4	FullDelay	0.398672	398672	1	11
0.811648	46	0	5	FullDelay	0.311648	311648	1	8
0.813032	30	0	3	FullDelay	0.513032	513032	1	15
0.825824	15	0	4	FullDelay	0.425824	425824	1	12
0.838744	90	0	5	FullDelay	0.338744	338744	1	9
0.851688	66	0	0	FullDelay	0.851688	851688	2	6
0.85308	5	0	4	FullDelay	0.45308	453080	1	13
0.85992	9	0	6	FullDelay	0.25992	259920	1	9
0.861664	50	0	4	FullDelay	0.461664	461664	1	13
0.865896	8	0	5	FullDelay	0.365896	365896	1	10
0.867272	1	0	3	FullDelay	0.567272	567272	1	17
0.874472	80	0	5	FullDelay	0.374472	374472	1	10
0.875944	10	0	3	FullDelay	0.575944	575944	1	17
0.888776	22	0	4	FullDelay	0.488776	488776	1	14
0.901624	25	0	5	FullDelay	0.401624	401624	1	11
0.914592	46	0	6	FullDelay	0.314592	314592	1	8
0.915992	30	0	4	FullDelay	0.515992	515992	1	15
0.928776	15	0	5	FullDelay	0.428776	428776	1	12
0.941688	90	0	6	FullDelay	0.341688	341688	1	9
0.95464	66	0	6	FullDelay	0.25464	254640	1	6
0.956032	5	0	5	FullDelay	0.456032	456032	1	13
0.95992	9	0	0	FullDelay	0.95992	959920	2	9
0.96884	8	0	6	FullDelay	0.36884	368840	1	10
0.970232	1	0	4	FullDelay	0.570232	570232	1	17
0.98312	22	0	5	FullDelay	0.48312	483120	1	14
0.995992	25	0	6	FullDelay	0.395992	395992	1	11
1.01036	30	0	5	FullDelay	0.51036	510360	1	15
1.02314	15	0	6	FullDelay	0.423144	423144	1	12
1.03182	60	0	6	FullDelay	0.431816	431816	1	12
1.04464	90	0	7	FullDelay	0.34464	344640	1	9
1.04602	11	0	5	FullDelay	0.546024	546024	1	16
1.04901	66	0	7	FullDelay	0.249008	249008	1	6
1.05898	5	0	6	FullDelay	0.458984	458984	1	13
1.05992	9	0	7	FullDelay	0.25992	259920	1	9
1.07179	8	0	7	FullDelay	0.371792	371792	1	10
1.07318	1	0	5	FullDelay	0.573176	573176	1	17
1.08607	22	0	6	FullDelay	0.486072	486072	1	14
1.09894	25	0	7	FullDelay	0.398944	398944	1	11
1.11191	46	0	7	FullDelay	0.311912	311912	1	8
1.11331	30	0	6	FullDelay	0.513312	513312	1	15
1.1261	15	0	7	FullDelay	0.426096	426096	1	12
1.13901	90	0	0	FullDelay	1.13901	1.13901e+06	2	9
1.15195	66	0	8	FullDelay	0.251952	251952	1	6
1.15335	5	0	7	FullDelay	0.453352	453352	1	13
1.15992	9	0	8	FullDelay	0.25992	259920	1	9
1.16616	8	0	8	FullDelay	0.36616	366160	1	10
1.16755	1	0	6	FullDelay	0.567552	567552	1	17
1.17474	80	0	8	FullDelay	0.374736	374736	1	10
1.17622	10	0	6	FullDelay	0.576224	576224	1	17
1.18044	22	0	7	FullDelay	0.48044	480440	1	14
1.20189	25	0	8	FullDelay	0.401888	401888	1	11
1.20336	0	0	6	FullDelay	0.60336	603360	1	18
1.20768	30	0	7	FullDelay	0.50768	507680	1	15
1.21486	46	0	8	FullDelay	0.314856	314856	1	8
1.22904	15	0	8	FullDelay	0.42904	429040	1	12
1.24195	90	0	8	FullDelay	0.341952	341952	1	9
1.24334	11	0	7	FullDelay	0.543344	543344	1	16
1.2549	66	0	9	FullDelay	0.254904	254904	1	6
1.2563	5	0	8	FullDelay	0.456296	456296	1	13
1.25992	9	0	9	FullDelay	0.25992	259920	1	9
1.2691	8	0	0	FullDelay	1.2691	1.2691e+06	2	10
1.2705	1	0	7	FullDelay	0.570496	570496	1	17
1.28338	22	0	8	FullDelay	0.483384	483384	1	14
1.29626	25	0	0	FullDelay	1.29626	1.29626e+06	2	11
1.31062	30	0	8	FullDelay	0.510624	510624	1	15
1.32341	15	0	0	FullDelay	1.32341	1.32341e+06	2	12
1.33208	60	0	9	FullDelay	0.43208	432080	1	12
1.3449	90	0	2	FullDelay	1.1449	1.1449e+06	2	9
1.34629	11	0	8	FullDelay	0.546288	546288	1	16
1.34927	66	0	10	FullDelay	0.249272	249272	1	6
1.35925	5	0	9	FullDelay	0.459248	459248	1	13
1.35992	9	0	10	FullDelay	0.25992	259920	1	9
1.37206	8	0	9	FullDelay	0.372056	372056	1	10
1.37344	1	0	8	FullDelay	0.57344	573440	1	17
1.38634	22	0	9	FullDelay	0.486336	486336	1	14
1.39921	25	0	9	FullDelay	0.399208	399208	1	11
1.41218	46	0	4	FullDelay	1.01218	1.01218e+06	2	8
1.41358	30	0	9	FullDelay	0.513576	513576	1	15
1.42636	15	0	9	FullDelay	0.42636	426360	1	12
1.43927	90	0	9	FullDelay	0.339272	339272	1	9
1.45222	66	0	11	FullDelay	0.252224	252224	1	6
1.45362	5	0	0	FullDelay	1.45362	1.45362e+06	2	13
1.45992	9	0	11	FullDelay	0.25992	259920	1	9
1.46642	8	0	10	FullDelay	0.366424	366424	1	10
1.46782	1	0	9	FullDelay	0.567816	567816	1	17
1.47508	44	0	10	FullDelay	0.37508	375080	1	10
1.47649	10	0	9	FullDelay	0.576488	576488	1	17
1.4807	22	0	0	FullDelay	1.4807	1.4807e+06	2	14
1.50219	25	0	10	FullDelay	0.402192	402192	1	11
1.50362	0	0	9	FullDelay	0.603624	603624	1	18
1.50794	30	0	10	FullDelay	0.507944	507944	1	15
1.51513	46	0	10	FullDelay	0.315128	315128	1	8
1.52934	15	0	10	FullDelay	0.429344	429344	1	12
1.54222	90	0	10	FullDelay	0.342224	342224	1	9
1.54361	11	0	10	FullDelay	0.543608	543608	1	16
1.55518	66	0	12	FullDelay	0.255176	255176	1	6
1.55657	5	0	10	FullDelay	0.456568	456568	1	13
1.55992	9	0	12	FullDelay	0.25992	259920	1	9
1.56938	8	0	11	FullDelay	0.369376	369376	1	10
1.57076	1	0	10	FullDelay	0.57076	570760	1	17
1.58366	22	0	10	FullDelay	0.483656	483656	1	14
1.59653	25	0	11	FullDelay	0.396528	396528	1	11
1.6109	30	0	0	FullDelay	1.6109	1.6109e+06	2	15
1.62368	15	0	11	FullDelay	0.42368	423680	1	12
1.63235	60	0	11	FullDelay	0.432352	432352	1	12
1.64518	90	0	11	FullDelay	0.345176	345176	1	9
1.64656	11	0	11	FullDelay	0.54656	546560	1	16
1.64954	66	0	13	FullDelay	0.249544	249544	1	6
1.65952	5	0	11	FullDelay	0.45952	459520	1	13
1.65992	9	0	13	FullDelay	0.25992	259920	1	9
1.67233	8	0	12	FullDelay	0.372328	372328	1	10
1.67371	1	0	11	FullDelay	0.573712	573712	1	17
1.68661	22	0	11	FullDelay	0.486608	486608	1	14
1.69948	25	0	12	FullDelay	0.39948	399480	1	11
1.71245	46	0	11	FullDelay	0.312448	312448	1	8
1.71385	30	0	11	FullDelay	0.513848	513848	1	15
1.72663	15	0	12	FullDelay	0.426632	426632	1	12
1.73954	90	0	12	FullDelay	0.339544	339544	1	9
1.7525	66	0	14	FullDelay	0.252496	252496	1	6
1.75389	5	0	12	FullDelay	0.453888	453888	1	13
1.75992	9	0	14	FullDelay	0.25992	259920	1	9
1.7667	8	0	13	FullDelay	0.366696	366696	1	10
1.76809	1	0	0	FullDelay	1.76809	1.76809e+06	2	17
1.77535	35	0	13	FullDelay	0.375352	375352	1	10
1.77676	10	0	12	FullDelay	0.57676	576760	1	17
1.78098	22	0	12	FullDelay	0.480976	480976	1	14
1.80246	25	0	13	FullDelay	0.402464	402464	1	11
1.8039	0	0	12	FullDelay	0.603896	603896	1	18
1.80822	30	0	12	FullDelay	0.508216	508216	1	15
1.8154	46	0	12	FullDelay	0.3154	315400	1	8
1.82962	15	0	13	FullDelay	0.429616	429616	1	12
1.8425	90	0	13	FullDelay	0.342496	342496	1	9
1.84388	11	0	0	FullDelay	1.84388	1.84388e+06	2	16
1.85545	66	0	15	FullDelay	0.255448	255448	1	6
1.85684	5	0	13	FullDelay	0.45684	456840	1	13
1.85992	9	0	15	FullDelay	0.25992	259920	1	9
1.86965	8	0	14	FullDelay	0.369648	369648	1	10
1.87103	1	0	12	FullDelay	0.571032	571032	1	17
1.88393	22	0	13	FullDelay	0.483928	483928	1	14
1.8968	25	0	14	FullDelay	0.3968	396800	1	11
1.91117	30	0	13	FullDelay	0.511168	511168	1	15
1.92395	15	0	14	FullDelay	0.423952	423952	1	12
1.93262	60	0	4	FullDelay	1.53262	1.53262e+06	2	12
1.94545	90	0	14	FullDelay	0.345448	345448	1	9
1.94683	11	0	3	FullDelay	1.64683	1.64683e+06	2	16
1.94982	66	0	16	FullDelay	0.249816	249816	1	6
1.95979	5	0	14	FullDelay	0.459792	459792	1	13
1.95992	9	0	16	FullDelay	0.25992	259920	1	9
1.9726	8	0	15	FullDelay	0.3726	372600	1	10
1.97398	1	0	13	FullDelay	0.573984	573984	1	17
1.98688	22	0	14	FullDelay	0.48688	486880	1	14
1.99975	25	0	15	FullDelay	0.399752	399752	1	11
2.01272	46	0	13	FullDelay	0.31272	312720	1	8
2.01412	30	0	14	FullDelay	0.51412	514120	1	15
2.0269	15	0	15	FullDelay	0.426904	426904	1	12
2.03982	90	0	15	FullDelay	0.339816	339816	1	9
2.05277	66	0	17	FullDelay	0.252768	252768	1	6
2.05416	5	0	15	FullDelay	0.45416	454160	1	13
2.05992	9	0	17	FullDelay	0.25992	259920	1	9
2.06697	8	0	16	FullDelay	0.366968	366968	1	10
2.06836	1	0	14	FullDelay	0.56836	568360	1	17
2.07703	10	0	0	FullDelay	2.07703	2.07703e+06	2	17
2.08125	22	0	15	FullDelay	0.481248	481248	1	14
2.09412	25	0	16	FullDelay	0.39412	394120	1	11
2.10278	70	0	16	FullDelay	0.402784	402784	1	11
2.10417	0	0	15	FullDelay	0.604168	604168	1	18
2.10849	30	0	15	FullDelay	0.508488	508488	1	15
2.11567	46	0	14	FullDelay	0.315672	315672	1	8
2.12987	15	0	16	FullDelay	0.429872	429872	1	12
2.14277	90	0	16	FullDelay	0.342768	342768	1	9
2.14415	11	0	6	FullDelay	1.54415	1.54415e+06	2	16
2.15572	66	0	18	FullDelay	0.25572	255720	1	6
2.15711	5	0	16	FullDelay	0.457112	457112	1	13
2.15992	9	0	18	FullDelay	0.25992	259920	1	9
2.16992	8	0	17	FullDelay	0.36992	369920	1	10
2.1713	1	0	15	FullDelay	0.571304	571304	1	17
2.1842	22	0	16	FullDelay	0.4842	484200	1	14
2.19707	25	0	17	FullDelay	0.397072	397072	1	11
2.21144	30	0	16	FullDelay	0.51144	511440	1	15
2.22422	15	0	17	FullDelay	0.424224	424224	1	12
2.2329	33	0	17	FullDelay	0.432896	432896	1	12
2.24572	90	0	17	FullDelay	0.34572	345720	1	9
2.2471	11	0	9	FullDelay	1.3471	1.3471e+06	2	16
