Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.331168	46	0	1	FullDelay	0.231168	231168	1	8
0.35992	9	0	1	FullDelay	0.25992	259920	1	9
0.35992	90	0	1	FullDelay	0.25992	259920	1	9
0.3888	8	0	1	FullDelay	0.2888	288800	1	10
0.397376	80	0	1	FullDelay	0.297376	297376	1	10
0.406032	44	0	1	FullDelay	0.306032	306032	1	10
0.414616	35	0	1	FullDelay	0.314616	314616	1	10
0.441728	25	0	1	FullDelay	0.341728	341728	1	11
0.45036	70	0	1	FullDelay	0.35036	350360	1	11
0.458944	7	0	1	FullDelay	0.358944	358944	1	11
0.45992	9	0	2	FullDelay	0.25992	259920	1	9
0.486072	15	0	1	FullDelay	0.386072	386072	1	12
0.489	46	0	2	FullDelay	0.289	289000	1	8
0.494688	60	0	1	FullDelay	0.394688	394688	1	12
0.503272	33	0	1	FullDelay	0.403272	403272	1	12
0.511856	6	0	1	FullDelay	0.411856	411856	1	12
0.524672	90	0	2	FullDelay	0.324672	324672	1	9
0.551824	8	0	2	FullDelay	0.351824	351824	1	10
0.557528	22	0	1	FullDelay	0.457528	457528	1	14
0.55992	9	0	3	FullDelay	0.25992	259920	1	9
0.5604	80	0	2	FullDelay	0.3604	360400	1	10
0.569056	44	0	2	FullDelay	0.369056	369056	1	10
0.596168	25	0	2	FullDelay	0.396168	396168	1	11
0.603256	11	0	1	FullDelay	0.503256	503256	1	16
0.609104	46	0	3	FullDelay	0.309104	309104	1	8
0.611928	20	0	1	FullDelay	0.511928	511928	1	16
0.62332	15	0	2	FullDelay	0.42332	423320	1	12
0.63196	60	0	2	FullDelay	0.43196	431960	1	12
0.639072	1	0	1	FullDelay	0.539072	539072	1	17
0.644776	90	0	3	FullDelay	0.344776	344776	1	9
0.647672	10	0	1	FullDelay	0.547672	547672	1	17
0.65992	9	0	4	FullDelay	0.25992	259920	1	9
0.671928	8	0	3	FullDelay	0.371928	371928	1	10
0.677616	22	0	2	FullDelay	0.477616	477616	1	14
0.68332	0	0	1	FullDelay	0.58332	583320	1	18
0.69908	25	0	3	FullDelay	0.39908	399080	1	11
0.703464	46	0	4	FullDelay	0.303464	303464	1	8
0.723344	11	0	2	FullDelay	0.523344	523344	1	16
0.726232	15	0	3	FullDelay	0.426232	426232	1	12
0.732032	20	0	2	FullDelay	0.532032	532032	1	16
0.739136	90	0	4	FullDelay	0.339136	339136	1	9
0.759176	1	0	2	FullDelay	0.559176	559176	1	17
0.75992	9	0	5	FullDelay	0.25992	259920	1	9
0.766288	8	0	4	FullDelay	0.366288	366288	1	10
0.767776	10	0	2	FullDelay	0.567776	567776	1	17
0.77196	22	0	3	FullDelay	0.47196	471960	1	14
0.774864	80	0	4	FullDelay	0.374864	374864	1	10
0.802016	25	0	4	FullDelay	0.402016	402016	1	11
0.803424	0	0	2	FullDelay	0.603424	603424	1	18
0.8064	46	0	5	FullDelay	0.3064	306400	1	8
0.817688	11	0	3	FullDelay	0.517688	517688	1	16
