Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.35992	9	0	1	FullDelay	0.25992	259920	1	9
0.35992	90	0	1	FullDelay	0.25992	259920	1	9
0.3888	8	0	1	FullDelay	0.2888	288800	1	10
0.397376	80	0	1	FullDelay	0.297376	297376	1	10
0.406032	44	0	1	FullDelay	0.306032	306032	1	10
0.433144	25	0	1	FullDelay	0.333144	333144	1	11
0.441776	70	0	1	FullDelay	0.341776	341776	1	11
0.45036	7	0	1	FullDelay	0.35036	350360	1	11
0.45992	9	0	2	FullDelay	0.25992	259920	1	9
0.477488	15	0	1	FullDelay	0.377488	377488	1	12
0.481752	90	0	2	FullDelay	0.281752	281752	1	9
0.486104	33	0	1	FullDelay	0.386104	386104	1	12
0.508904	8	0	2	FullDelay	0.308904	308904	1	10
0.51748	80	0	2	FullDelay	0.31748	317480	1	10
0.526136	44	0	2	FullDelay	0.326136	326136	1	10
0.531824	22	0	1	FullDelay	0.431824	431824	1	14
0.553248	25	0	2	FullDelay	0.353248	353248	1	11
0.55992	9	0	3	FullDelay	0.25992	259920	1	9
0.56188	70	0	2	FullDelay	0.36188	361880	1	11
0.570464	7	0	2	FullDelay	0.370464	370464	1	11
0.577552	11	0	1	FullDelay	0.477552	477552	1	16
0.597592	15	0	2	FullDelay	0.397592	397592	1	12
0.601856	90	0	3	FullDelay	0.301856	301856	1	9
0.604704	1	0	1	FullDelay	0.504704	504704	1	17
0.606208	33	0	2	FullDelay	0.406208	406208	1	12
0.613336	10	0	1	FullDelay	0.513336	513336	1	17
0.629008	8	0	3	FullDelay	0.329008	329008	1	10
0.637584	80	0	3	FullDelay	0.337584	337584	1	10
0.640472	0	0	1	FullDelay	0.540472	540472	1	18
0.64624	44	0	3	FullDelay	0.34624	346240	1	10
0.651928	22	0	2	FullDelay	0.451928	451928	1	14
0.65992	9	0	4	FullDelay	0.25992	259920	1	9
0.673352	25	0	3	FullDelay	0.373352	373352	1	11
0.681984	70	0	3	FullDelay	0.381984	381984	1	11
0.690568	7	0	3	FullDelay	0.390568	390568	1	11
0.697656	11	0	2	FullDelay	0.497656	497656	1	16
0.717696	15	0	3	FullDelay	0.417696	417696	1	12
0.72196	90	0	4	FullDelay	0.32196	321960	1	9
0.724808	1	0	2	FullDelay	0.524808	524808	1	17
0.726312	33	0	3	FullDelay	0.426312	426312	1	12
0.73344	10	0	2	FullDelay	0.53344	533440	1	17
0.749112	8	0	4	FullDelay	0.349112	349112	1	10
0.757688	80	0	4	FullDelay	0.357688	357688	1	10
0.75992	9	0	5	FullDelay	0.25992	259920	1	9
0.760576	0	0	2	FullDelay	0.560576	560576	1	18
0.766344	44	0	4	FullDelay	0.366344	366344	1	10
0.772032	22	0	3	FullDelay	0.472032	472032	1	14
0.793456	25	0	4	FullDelay	0.393456	393456	1	11
0.802088	70	0	4	FullDelay	0.402088	402088	1	11
0.81776	11	0	3	FullDelay	0.51776	517760	1	16
0.824896	90	0	5	FullDelay	0.324896	324896	1	9
0.829176	15	0	4	FullDelay	0.429176	429176	1	12
0.844912	1	0	3	FullDelay	0.544912	544912	1	17
0.852048	8	0	5	FullDelay	0.352048	352048	1	10
0.853544	10	0	3	FullDelay	0.553544	553544	1	17
0.85992	9	0	6	FullDelay	0.25992	259920	1	9
0.860624	80	0	5	FullDelay	0.360624	360624	1	10
0.86928	44	0	5	FullDelay	0.36928	369280	1	10
0.874904	22	0	4	FullDelay	0.474904	474904	1	14
0.88068	0	0	3	FullDelay	0.58068	580680	1	18
0.896392	25	0	5	FullDelay	0.396392	396392	1	11
0.920632	11	0	4	FullDelay	0.520632	520632	1	16
0.923544	15	0	5	FullDelay	0.423544	423544	1	12
0.927832	90	0	6	FullDelay	0.327832	327832	1	9
0.932184	33	0	5	FullDelay	0.432184	432184	1	12
0.947784	1	0	4	FullDelay	0.547784	547784	1	17
0.954984	8	0	6	FullDelay	0.354984	354984	1	10
0.95648	10	0	4	FullDelay	0.55648	556480	1	17
0.95992	9	0	0	FullDelay	0.95992	959920	2	9
0.96356	80	0	6	FullDelay	0.36356	363560	1	10
0.972216	44	0	6	FullDelay	0.372216	372216	1	10
0.977904	22	0	5	FullDelay	0.477904	477904	1	14
0.983616	0	0	4	FullDelay	0.583616	583616	1	18
0.999328	25	0	6	FullDelay	0.399328	399328	1	11
